family,genus,PI_name,pair_key,measure,maternal_species,paternal_species,intra_maternal,inter_cross,success_ratio_inter_over_intra,directional_RI,maternal_ovules,paternal_ovules,signed_log10_ovule_ratio_maternal_minus_paternal,maternal_confidence,paternal_confidence,maternal_life_history,paternal_life_history,maternal_mating_system,paternal_mating_system,K2P_Distance,is_PI_from_PI_name,direction_complete_no_K2P,direction_complete_with_K2P
Phrymaceae,Diplacus,,diplacus fremontii || diplacus johnstonii,seed set,Diplacus fremontii,Diplacus johnstonii,0.340054,0.007425,0.021834767419292227,0.9781652325807078,203.0,42.0,0.6842467475153124,3.0,3.0,annual,annual,outcrossing,outcrossing,,False,True,False
Poaceae,Elymus,Elymus,elymus pendulinus || elymus tenuispicus,seed set,Elymus tenuispicus,Elymus pendulinus,91.0,,,,1.0,1.0,0.0,1.0,1.0,annual,annual,selfing,selfing,,True,False,False
Poaceae,Elymus,Elymus,elymus pendulinus || elymus tenuispicus,seed set,Elymus pendulinus,Elymus tenuispicus,93.0,1.1,0.011827956989247313,0.9881720430107527,1.0,1.0,0.0,1.0,1.0,annual,annual,selfing,selfing,,True,True,False
Poaceae,Elymus,,elymus ciliaris || elymus tenuispicus,seed set,Elymus tenuispicus,Elymus ciliaris,91.0,,,,1.0,1.0,0.0,1.0,1.0,annual,annual,selfing,selfing,,False,False,False
Poaceae,Elymus,,elymus ciliaris || elymus tenuispicus,seed set,Elymus ciliaris,Elymus tenuispicus,92.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,annual,annual,selfing,selfing,,False,True,False
Orchidaceae,Epidendrum,,epidendrum calanthum || epidendrum cochlidium,fruit set,Epidendrum calanthum,Epidendrum cochlidium,91.5,90.9,0.9934426229508198,0.006557377049180246,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Orchidaceae,Epidendrum,,epidendrum calanthum || epidendrum cochlidium,fruit set,Epidendrum cochlidium,Epidendrum calanthum,97.6,59.6,0.6106557377049181,0.3893442622950819,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Orchidaceae,Epidendrum,,epidendrum calanthum || epidendrum schistochilum,fruit set,Epidendrum calanthum,Epidendrum schistochilum,91.5,75.9,0.8295081967213115,0.17049180327868851,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Orchidaceae,Epidendrum,,epidendrum calanthum || epidendrum schistochilum,fruit set,Epidendrum schistochilum,Epidendrum calanthum,96.5,93.4,0.9678756476683938,0.032124352331606154,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Orchidaceae,Epidendrum,,epidendrum cochlidium || epidendrum schistochilum,fruit set,Epidendrum cochlidium,Epidendrum schistochilum,97.6,54.8,0.5614754098360656,0.4385245901639344,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Orchidaceae,Epidendrum,,epidendrum cochlidium || epidendrum schistochilum,fruit set,Epidendrum schistochilum,Epidendrum cochlidium,96.5,92.2,0.9554404145077721,0.04455958549222794,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Orchidaceae,Epidendrum,,epidendrum denticulatum || epidendrum orchidiflorum,fruit set,Epidendrum denticulatum,Epidendrum orchidiflorum,16.7,13.5,0.8083832335329342,0.19161676646706582,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Orchidaceae,Epidendrum,,epidendrum denticulatum || epidendrum orchidiflorum,fruit set,Epidendrum orchidiflorum,Epidendrum denticulatum,20.0,13.9,0.6950000000000001,0.30499999999999994,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
