i,j,O_i,O_j,K_i,K_j,F_i,F_j,G,D,dlogO,GxdlogO,A_sobelchen,A_oneminus_hc
65,75,12.123871242605476,1619.8580988616181,2.87196631812738,0.24846287957947188,1.1789762615728703,0.2210068770412093,0.0751216375772432,0.375608187886216,4.894917491997891,0.3677142178043738,0.17638562843161995,0.278125750033938
89,10,82.63810421094828,59.841502682878094,1.1000434190467496,1.2927029941180554,0.7096954915457335,0.785192588841013,0.3379680453881644,1.689840226940822,-0.3227714391860239,-0.10908643240882528,-0.04384772976821627,-0.03610189178267054
3,8,2.604869850664517,12426.356496905111,6.1959368887292,0.0897073640450797,1.5119532941376506,0.0858563888787105,0.09214558057973402,0.46072790289867005,8.470192307206881,0.7804907877695748,0.31509098451886697,0.4629386767171476
58,25,4.5496607402842715,464.9553095124899,4.688247096530768,0.463761182008895,1.40193597182215,0.37646601902442073,0.09296014504694083,0.46480072523470417,4.626888624785294,0.43011623767608154,0.22748296833101084,0.3182720999935219
18,7,3698.075211014825,6.608848453764152,0.16444176526118187,3.889888056716178,0.15194843113863013,1.3208699449832768,0.1996119623854145,0.9980598119270725,-6.327158324092133,-1.2629764893952413,-0.502118047157946,-0.5916979772045403
68,25,7657.041530303628,464.9553095124899,0.11427980711231808,0.463761182008895,0.10810282227346377,0.37646601902442073,0.11658614249536513,0.5829307124768256,-2.8014396725399475,-0.3266090448549113,-0.07779073874370757,-0.13597061302127278
95,32,1175.2937384847537,4.300292400045926,0.2916935250128836,4.822264267480449,0.25456591104278986,1.4136843952136653,0.022724461532358464,0.11362230766179232,-5.610590365137405,-0.127497644926386,-0.06567963308496959,-0.11987949614438043
96,77,2662.252780287443,5160.7161600383815,0.19380963130537682,0.13920185197098706,0.17668773857105805,0.13014372799156962,0.1399805476749691,0.6999027383748455,0.6619026863177595,0.09265350053829324,0.016240925298428792,0.02926091174755241
94,98,884.9771408402388,7.942746297887959,0.336150664066155,3.5482536206213497,0.2877816651440388,1.279052423787354,0.07730746951442513,0.38653734757212566,-4.713302718313317,-0.36437350620826386,-0.18672364307719286,-0.2847896297937389
76,26,187.8217141024258,17.467667736301486,0.7296710237396979,2.392668537385671,0.5346219506994184,1.0893917977292618,0.11133314711163439,0.5566657355581719,-2.3751415694752858,-0.2644319857653502,-0.14653646112415297,-0.19729838391049437
77,46,5160.7161600383815,45.53157135369584,0.13920185197098706,1.4819845657903166,0.13014372799156962,0.8512298304538556,0.03012600302239296,0.1506300151119648,-4.730424678308459,-0.14250878815592288,-0.05422122907465377,-0.10092818623668931
108,38,19780.62210767881,8067.784894509908,0.0711017069289636,0.11133272646697859,0.06866075836941243,0.105462038333748,0.08245056296139248,0.4122528148069624,-0.8968238188751965,-0.07394362874344583,-0.007583236869941378,-0.014636705082326618
