data_structure,asym_model_beta_intercept,asym_model_beta_delta_logK,asym_model_beta_divergence_time,asym_model_r2,asym_model_n,ovule_proxy_beta_intercept,ovule_proxy_beta_delta_logO_proxy,ovule_proxy_beta_divergence_time,ovule_proxy_r2,ovule_proxy_n,post_model_beta_intercept,post_model_beta_divergence_time,post_model_beta_abs_delta_logK,post_model_r2,post_model_n,replicate,alpha,psi,architecture,n_tips,mean_K,median_K,prop_K_gt_1,mean_omega,mean_filter_F,mean_sweeps,n_pairs_used,beta_intercept,beta_maternal_logK,beta_divergence_time,r2,n
one_direction,,,,,,,,,,,,,,,,2,0.6,0.005,linked,80,0.2610069780536154,0.2180334088814619,0.0125,0.004218909855783183,0.3886232198450256,0.0625,3160,0.10158601046885306,0.059834245017234194,0.10135570839653764,0.37513055455461497,3160.0
summary_only,-0.0018470562469321407,0.06284200009307833,-0.0011140416595779802,0.1859373987180477,3160.0,0.0030543930742444754,0.027924301804430493,-0.001300828128148208,0.10724563081066718,3160.0,-0.035647692354653954,0.5210667351378839,-0.004325216576625322,0.5642958088957586,3160.0,2,0.6,0.005,linked,80,0.2610069780536154,0.2180334088814619,0.0125,0.004218909855783183,0.3886232198450256,0.0625,3160,,,,,
dense_reciprocal,0.0005879339108471514,0.04783380479833308,-0.006236215053465516,0.14078118499250003,3160.0,0.002397339594692596,0.02148921483431242,-0.0069994713847640715,0.10174592973821883,3160.0,-0.034767469471661434,0.514829483202102,0.006297793277736032,0.6621271086104757,3160.0,3,0.6,0.005,linked,80,0.3038335505165578,0.2741554734385318,0.0,0.0034143461510906838,0.44591601756248034,0.0875,3160,,,,,
sparse_reciprocal,-0.0023924908659043935,0.047432226631810154,0.0115260867575175,0.14737768638818982,796.0,-0.001913238787772018,0.02128805497745528,0.013189468853976226,0.10301453476093525,796.0,-0.026106099408890658,0.5099028575934607,-0.012377605705968325,0.6605737631398289,796.0,3,0.6,0.005,linked,80,0.3038335505165578,0.2741554734385318,0.0,0.0034143461510906838,0.44591601756248034,0.0875,796,,,,,
pi_pairs,-0.02997009159404055,0.04186184023575129,0.0488032710397907,0.1426474181128612,40.0,-0.027804742818564113,0.03241873863769021,0.0370972300740883,0.20001560971002763,40.0,-0.08388999857463798,0.4624073855937951,0.1089860108421152,0.565089894976846,40.0,3,0.6,0.005,linked,80,0.3038335505165578,0.2741554734385318,0.0,0.0034143461510906838,0.44591601756248034,0.0875,40,,,,,
one_direction,,,,,,,,,,,,,,,,3,0.6,0.005,linked,80,0.3038335505165578,0.2741554734385318,0.0,0.0034143461510906838,0.44591601756248034,0.0875,3160,0.07056050032719283,0.04438995884310893,0.12319357877547013,0.45715151575789215,3160.0
summary_only,0.0005879339108471514,0.04783380479833308,-0.006236215053465516,0.14078118499250003,3160.0,0.002397339594692596,0.02148921483431242,-0.0069994713847640715,0.10174592973821883,3160.0,-0.034767469471661434,0.514829483202102,0.006297793277736032,0.6621271086104757,3160.0,3,0.6,0.005,linked,80,0.3038335505165578,0.2741554734385318,0.0,0.0034143461510906838,0.44591601756248034,0.0875,3160,,,,,
dense_reciprocal,-0.000982822754471598,0.054912288230507283,0.005033427072814713,0.07036367705753954,3160.0,0.00011738398794976678,0.030275599215409534,0.005936047162572273,0.016354921518181853,3160.0,-0.026291910054847684,0.5105291488211386,-0.002510225163301641,0.5635975304065678,3160.0,4,0.6,0.005,linked,80,0.46880568628495933,0.40764479684391464,0.025,0.014360618283289278,0.5797243973244894,0.0875,3160,,,,,
sparse_reciprocal,-0.0005766212258244135,0.043120087402117105,0.0027542384191563724,0.043619044450222355,772.0,-0.0019793523510503587,0.02394781317064774,0.004848002301395347,0.010827063253134872,772.0,-0.029506375846817548,0.5105998770105815,0.004004237799128514,0.605848249996713,772.0,4,0.6,0.005,linked,80,0.46880568628495933,0.40764479684391464,0.025,0.014360618283289278,0.5797243973244894,0.0875,772,,,,,
pi_pairs,-0.005857059744757715,-0.015920029140715518,-0.007927670399685503,0.007177850785012874,40.0,-0.0057192305850084805,0.020104305565227146,-0.009400432064664673,0.012473975021098704,40.0,-0.05973699582458421,0.5292927945326824,0.007417199500736566,0.6873820152317667,40.0,4,0.6,0.005,linked,80,0.46880568628495933,0.40764479684391464,0.025,0.014360618283289278,0.5797243973244894,0.0875,40,,,,,
